SINONIMIA,MEDICAMENTO
POLYGALA SENEGA                                   ,SENEGA
POLYGALA VIRGINIANA                               ,SENEGA
POLYGONUM ACRE                                    ,POLYGONUM PUNCTATUM
POLYGONUM FAGOPYRUM                               ,FAGOPYRUM ESCULENTUM
POLYGONUM HYDROPIPER                              ,POLYGONUM PUNCTATUM
POLYGONUM MEISSNERIANUM                           ,POLYGONUM SAGITTATUM
POLYGONUM PUNCT                                   ,POLYGONUM PUNCTATUM
POLYGONUM SAG                                     ,POLYGONUM SAGITTATUM
POLYGONUM VIR                                     ,POLYGONUM VIRIDIFLORUM
POLYPHERMUS OCCIDENTALIS                          ,LIMULUS CYCLOPS
POLYTRICHUM                                       ,POLYTRICHUM COMMUNE
POMA AMORIS                                       ,SOLANUM LYCOPERSICUM
PONTE E BULBO CEREBRAL                            ,PONTE E BULBO CEREBRAL (CARNEIRO)
POOL DE ANTIBIOTICOS                              ,POLIANTIBIOTICOS
POOL DE CORTICOIDES                               ,POLICORTICOIDES
POPULUS BALSAMIFERA                               ,POPULUS CANDICANS
POPULUS CAND                                      ,POPULUS CANDICANS
POPULUS TREM                                      ,POPULUS TREMULOIDES
PORANGABA (H)                                     ,CORDIA SALICIFOLIA
PORCELIA TRILOBA                                  ,ASIMINA TRILOBA
PORRON SATIVUM                                    ,ALLIUM SATIVUM
POSTAFEN (NOME COMERCIAL)                         ,OBESENINUM
POTAMOBIUS ASTACUS                                ,ASTACUS FLUVIATILIS
POTASII HYPOPHOSPHIS                              ,KALI HYPOPHOSPHOROSUM
POTASSA SULPHURATA                                ,KALI SULFURICUM
POTASSAE ACETAS                                   ,KALI ACETICUM
POTASSAE BICHROMAS                                ,KALI BICHROMICUM
POTASSAE CARBONAE                                 ,KALI CARBONICUM
POTASSAE CHLORAS                                  ,KALI CHLORICUM
POTASSAE NITRAS                                   ,KALI NITRICUM
POTASSAE PHOSPHAS                                 ,KALI PHOSPHORICUM
POTASSAE SULPHAS                                  ,KALI SULFURICUM
POTASSAE TARTRAS                                  ,KALI TARTARICUM
POTASSI ARSENIS                                   ,KALI ARSENICOSUM
POTASSI ARSENITIS                                 ,KALI ARSENICOSUM
POTASSI BROMIDUM                                  ,KALI BROMATUM
POTASSI CHLORAS                                   ,KALI CHLORICUM
POTASSI CHLORIDUM                                 ,KALI MURIATICUM
POTASSI IODIDUM                                   ,KALI IODATUM
POTASSI SULPHAS                                   ,KALI SULFURICUM
POTASSI SULPHURETUM                               ,KALI SULFURICUM
POTASSIC DICHROMATE                               ,KALI BICHROMICUM
POTASSII ACETAS                                   ,KALI ACETICUM
POTASSII BICHROMAS                                ,KALI BICHROMICUM
POTASSII CARBONAE PURUS                           ,KALI CARBONICUM
POTASSII CARBONAS                                 ,KALI CARBONICUM
POTASSII NITRAS                                   ,KALI NITRICUM
POTASSII OXALAS                                   ,KALI OXALICUM
POTASSII PHOSPHAS                                 ,KALI PHOSPHORICUM
POTASSII TARTRAS                                  ,KALI TARTARICUM
POTASSIO ALUMINIO SULPHATE                        ,ALUMEN
POTASSIO ANTIMONIC-OXYTARTRATE                    ,ANTIMONIUM TARTARICUM
POTASSIUM ACETAT                                  ,KALI ACETICUM
POTASSIUM ARSENIT                                 ,KALI ARSENICOSUM
POTASSIUM BICHROMATE                              ,KALI BICHROMICUM
POTASSIUM CARBONATE                               ,KALI CARBONICUM
POTENTILLA ERECTA                                 ,POTENTILLA TORMENTILLA
POUMON ANAPHYLACTIQUE                             ,PULMAO HISTAMINUM
POUMON HISTAMINE                                  ,PULMAO HISTAMINUM
PRAECIPITATUS                                     ,MERCURIUS PRAECIPITATUS RUBER
PRASEODYMIUM CARB                                 ,PRASEODYMIUM CARBONICUM
PRASEODYMIUM CHLORATUM                            ,PRASEODYMIUM MURIATICUM
PRASEODYMIUM MET                                  ,PRASEODYMIUM METALLICUM
PRASEODYMIUM PHOSPH                               ,PRASEODYMIUM PHOSPHORICUM
PRASEODYMIUM SULPH                                ,PRASEODYMIUM SULPHURICUM
PRATA                                             ,ARGENTUM METALLICUM
PREMARIN (NOME COMERCIAL)                         ,ESTROGENIOS CONJUGADOS
PRENANTHES ALBA                                   ,NABALUS ALBUS
PRENANTHES SERPENTARIA                            ,NABALUS ALBUS
PRESSEL (NOME COMERCIAL)                          ,ENALAPRIL MALEATO
PRIMULA OFFICINALIS                               ,PRIMULA VERIS
PRIMULA POCULIFORMIS                              ,PRIMULA OBCONICA
PRIMULA VULGARIS                                  ,PRIMULA VERIS
PRIONURUS AUSTRALIS                               ,BUTHUS AUSTRALIS
PROGESTERONA BIODENTICA (H)                       ,PROGESTERONA
PROGESTERONUM (H)                                 ,PROGESTERONA
PROLACTINE                                        ,PROLACTINA
PROLAN                                            ,LOBO ANTERIOR HIPOFISE
PROMETAZINA (H)                                   ,PROMETAZINA CLORIDRATO
PROMETHAZINE (H)                                  ,PROMETAZINA CLORIDRATO
PROMETHIUM CHLORATUM                              ,PROMETHIUM MURIATICUM
PROMETHIUM MUR                                    ,PROMETHIUM MURIATICUM
PROPIONICUM ACIDUM                                ,ACIDO PROPIONICO
PROPYLFORMIC ACIDUM                               ,ACIDUM BUTYRICUM
PROSTACYCLIN                                      ,PROSTAGLANDINA I 2
PROSTAGLANDINA F2 ALFA                            ,PROSTAGLANDINA F2
PROSTATA TOTAL                                    ,PROSTATA
PROSTATINUM                                       ,PROSTATA
PROTEUS BACH                                      ,MORGAN PURE
PROTEUS MIR                                       ,PROTEUS MIRABILIS
PROTEUS MORGANI                                   ,MORGAN PURE
PROTEUS SP                                        ,PROTEUS
PROTOBOTHROPS FLAVORIDIS                          ,HABU SNAKE
PRUNUS AMYGDALUS                                  ,AMYGDALAE AMARAE
PRUNUS COMMUNIS                                   ,PRUNUS SPINOSA
PRUNUS LAUROCERASUS                               ,LAUROCERASUS
PRUNUS LUSITANICA                                 ,LAUROCERASUS
PRUNUS VIRG                                       ,PRUNUS VIRGINIANA
PRUSSICUM ACIDUM                                  ,ACIDO HIDROCIANICO
PSEUDOCACIA ODORATA                               ,ROBINIA PSEUDOCACIA
PSEUDOMONAS AER                                   ,PSEUDOMONAS AERUGINOSA
PSEUSMAGENNETUS EQUATORIENSIS                     ,CONDURANGO
PSORA SICCA                                       ,PSORINUM
PSORICUM                                          ,PSORINUM
PSORIKUM                                          ,PSORINUM
PSORINUM HAHNEMANNI                               ,PSORINUM
PSORINUM HOMINUM                                  ,PSORINUM
PSYCHOTRIA IPECACUANHA                            ,IPECACUANHA
PTARMICA LAPSORUM                                 ,ARNICA MONTANA
PTARMICA MONTANA                                  ,ARNICA MONTANA
PTELEA                                            ,PTELEA TRIFOLIATA
PTELEA TRIF                                       ,PTELEA TRIFOLIATA
PTELEA VITICIFOLIA                                ,PTELEA TRIFOLIATA
PTERAEMA EXCELSA                                  ,QUASSIA AMARA
PTERIDIUM ACHILINUM                               ,PTERIS AQUILINA
PTERIDIUM AQUILINUM                               ,PTERIS AQUILINA
PTERYGIUM TERES                                   ,CAMPHORA
PUCA-PUCA                                         ,BRACHYGLOTTIS REPENS
PUKA-PUKA                                         ,BRACHYGLOTTIS REPENS
PULGA                                             ,PULEX IRRITANS
PULGA CANINA                                      ,PULGA DE CAO
PULGA FELINA                                      ,PULGA DE GATO
PULGAO DO CHENOPODIO                              ,CHENOPODII GLAUCI APIS
PULMAO                                            ,PULMAO TOTAL
PULMAO ANAFILATICO                                ,PULMAO HISTAMINUM
PULMAO HIST                                       ,PULMAO HISTAMINUM
PULMINE                                           ,PULMAO TOTAL
PULMO ANAPHYLACTICUS                              ,PULMAO HISTAMINUM
PULMO BOVIS                                       ,PULMAO TOTAL
PULMO HISTAMINUM                                  ,PULMAO HISTAMINUM
PULMO-HISTAMINUM                                  ,PULMAO HISTAMINUM
PULMONARIA OFICINAL                               ,STICTA PULMONARIA
PULMONARIA RETICULATA                             ,STICTA PULMONARIA
PULSATILLA                                        ,PULSATILLA NIGRICANS
PULSATILLA PRATENSIS                              ,PULSATILLA NIGRICANS
PULSATILLA SECUNDA                                ,PULSATILLA NIGRICANS
PULSATILLA VULGARIS                               ,PULSATILLA NIGRICANS
PULVIS CARTHUSIANORUM                             ,ANTIMONIUM SULPHURATUM RUBRUM
PUMA                                              ,LAC PUMA CONCOLOR
PUMICES                                           ,PUMEX
PURAN T4  (NOME COMERCIAL)                        ,THYROXINUM
PURPUREA                                          ,DIGITALIS PURPUREA
PURPUREA PATULA                                   ,MUREX PURPUREA
PUTORIUS                                          ,MEPHITIS PUTORIUS
PYGEUM AFRIC                                      ,PYGEUM AFRICANUM
PYOCOCCUS AUREUS                                  ,STAPHYLOCOCCUS AUREUS
PYOCYANEUM                                        ,BACILLUS PYOCIANEUS
PYRARARA                                          ,PYRARA
PYRAZOLONUM PHENYLDIMETHYLICUM                    ,ANTIPYRINUM
PYRIDOXINUM                                       ,VIT B6
PYROGEN                                           ,PYROGENIUM
PYROLA CORYMBOSA                                  ,CHIMAPHILA UMBELLATA
PYROLA FRUTENSIS                                  ,CHIMAPHILA UMBELLATA
PYROLA MACULATA                                   ,CHIMAPHILA MACULATA
PYROLA UMBELLATA                                  ,CHIMAPHILA UMBELLATA
PYROTHECA TINCTORIA                               ,LACHNANTHES TINCTORIA
PYRUS AM                                          ,PYRUS AMERICANA
PYTCHOPELATUM OLACOIDES                           ,MARAPUAMA
PYTHON (DIVYA)                                    ,PYTHON
PYTHON MOLURUS INDIAN                             ,PYTHON
QUADRIL LIGAMENTO                                 ,LIGAMENTO QUADRIL
QUARTZ                                            ,SILICEA
QUARTZO ROSA                                      ,ROSENQUARZ
QUASSIA                                           ,QUASSIA AMARA
QUASSIA CEDRON                                    ,CEDRON
QUASSIA EXCELSA                                   ,QUASSIA AMARA
QUASSIA LIGNUM                                    ,QUASSIA AMARA
QUASSIA POLYGAMA                                  ,QUASSIA AMARA
QUASSIA SIMARUBA                                  ,SIMARUBA
QUEBRA PEDRAS                                     ,PHYLLANTHUS NIRURI
QUEBRACHO                                         ,ASPIDOSPERMA QUEBRACHO
QUEIJOS (POOL)                                    ,QUEIJOS
QUERCUS                                           ,QUERCUS ROBUR
QUERCUS GLANDIUM                                  ,QUERCUS GLANDIUM SPIRITUS
QUERCUS GLANDIUM AQUA                             ,QUERCUS GLANDIUM SPIRITUS
QUILANDINA SPINOSISSIMA                           ,QUILLANDINA SPINOSISSIMA
QUILLAJA SAPONARIA                                ,QUILLAYA SAPONARIA
QUILLAJA SMEGMADERMA                              ,QUILLAYA SAPONARIA
QUILLAYA                                          ,QUILLAYA SAPONARIA
QUILLAYA MOLINAE                                  ,QUILLAYA SAPONARIA
QUILLAYA SMEGMADERMA                              ,QUILLAYA SAPONARIA
QUINA                                             ,CHINA OFFICINALIS
QUINA AMARELA                                     ,CHINA OFFICINALIS
QUINA CALISAYA                                    ,CHINA OFFICINALIS
QUINA REAL                                        ,CHINA OFFICINALIS
QUINA REGIA                                       ,CHINA OFFICINALIS
QUINARIA HEDERACEA                                ,AMPELOPSIS QUINQUEFOLIA
QUINARIA HIRSUTA                                  ,AMPELOPSIS QUINQUEFOLIA
QUINIA SULPHATE                                   ,CHININUM SULPHURICUM
QUINIAE PHOSPHAS                                  ,CHININUM PHOSPHORICUM
QUINIAE SULPHAS                                   ,CHININUM SULPHURICUM
QUININA ARSENIAS                                  ,CHININUM ARSENICOSUM
QUININAE ARSENIS                                  ,CHININUM ARSENICOSUM
QUININAE SULPHAS                                  ,CHININUM SULPHURICUM
QUININE OF AUSTRALIA                              ,ALSTONIA CONSTRICTA
RABBIT' S MILK                                    ,LAC ORYCTOLAGINUM
RADIUM BROM                                       ,RADIUM BROMATUM
RADIUM IOD                                        ,RADIUM IODATUM
RADIX                                             ,IPECACUANHA
RADIX ANGELICAE SINENSIS                          ,ANGELICA SINENSIS
RADIX BRASIL                                      ,IPECACUANHA
RADIX CHRISTOPHERIANAE                            ,ACTAEA SPICATA
RADONIO                                           ,RADON
RADONIUM                                          ,RADON
RAIOS- X                                          ,RAIO X
RAIZ AMARGA                                       ,ALSTONIA CONSTRICTA
RAIZ DE LOTUS                                     ,LUTEA NELUMBO
RANA BUFO                                         ,BUFO RANA
RANUNCULUS BULB                                   ,RANUNCULUS BULBOSUS
RAPHANUS                                          ,RAPHANUS SATIVUS
RAPHANUS HORTENSE                                 ,RAPHANUS SATIVUS
RAPHANUS NIGER                                    ,RAPHANUS SATIVUS
RAPHANUS NIGRUM                                   ,RAPHANUS SATIVUS
RAPHANUS RUSTICANUS                               ,COCHLEARIA ARMORACIA
RAPHANUS SAT                                      ,RAPHANUS SATIVUS
RAPHANUS SATIVUS NIGER                            ,RAPHANUS SATIVUS
RAPHANUS SATIVUS RAPIFERUS                        ,RAPHANUS SATIVUS
RAPHANUS SATIVUS VAR. NIGRA                       ,RAPHANUS SATIVUS
RAPUNTIUM                                         ,LOBELIA INFLATA
RAPUNTIUM CARDINALE                               ,LOBELIA CARDINALIS
RAPUNTIUM ERINUS                                  ,LOBELIA ERINUS
RAPUNTIUM INFLATUM                                ,LOBELIA INFLATA
RAPUNTIUM SYPHILITICUM                            ,LOBELIA COERULEA
RAPUNTIUM SYPHYLITICUM                            ,LOBELIA SYPHILITICA
RATANHIA                                          ,RATANHIA PERUVIANA
RATANHIA PER                                      ,RATANHIA PERUVIANA
RAUWOLFIA                                         ,RAUWOLFIA SERPENTINA
RAUWOLFIA HETEROPHILA                             ,RAUWOLFIA SERPENTINA
RAUWOLFIA SERP                                    ,RAUWOLFIA SERPENTINA
RECTUM                                            ,RETO
RED CLOVER                                        ,TRIFOLIUM PRATENSE
REDUCOL (NOME COMERCIAL)                          ,LOVASTATINA
REDUTOR TEMPO (NOME COMERCIAL)                    ,QUEROSENE
REMEDIA APICOMPLEXA TGii                          ,REMEDIA TOXOPLASMOSE NOSODIO
REMEDIA TGii                                      ,REMEDIA TOXOPLASMOSE NOSODIO
REMEDIA TOXOPLASMA GONDII                         ,REMEDIA TOXOPLASMOSE NOSODIO
REMEDIA TOXOPLASMINUM                             ,REMEDIA TOXOPLASMOSE NOSODIO
REMORA ALOPECUROIS                                ,ONONIS SPINOSA
REMORA ARATRUNS                                   ,ONONIS SPINOSA
REMORA URINARIA                                   ,ONONIS SPINOSA
REMOVEDOR                                         ,REMOVEDOR TINTAS
RESERPINA                                         ,RESERPINUM
RESERPINE                                         ,RESERPINUM
RESINA ABIETIS NIGRAE                             ,ABIES NIGRA
RESINA LARICIS                                    ,TEREBINTHINAE OLEUM
RESINA PICEAE                                     ,ABIES NIGRA
RESINA POLICARBONATO                              ,RESINA PARA APARELHO ORTODONTICO
RESTA BOVIS                                       ,ONONIS SPINOSA
RETINOL (H)                                       ,VITAMINA A
REUMATOIDE ARTRITICO NOSODIO                      ,OAN (OSTEOARTRITE NOSODIO)
REVOLUTION (NOME COMERCIAL)                       ,SELAMECTIN
RHABARBARUM                                       ,RHEUM PALMATUM
RHAMNUS CAL                                       ,RHAMNUS CALIFORNICA
RHAMNUS PURSH                                     ,RHAMNUS PURSHIANA
RHENIUM MET                                       ,RHENIUM METALLICUM
RHESUS MONKEY S MILK                              ,LAC RHESUS
RHEUM                                             ,RHEUM PALMATUM
RHEUM COMPACTUM                                   ,RHEUM PALMATUM
RHEUM EMODI                                       ,RHEUM PALMATUM
RHEUM MOSCOVITICUM                                ,RHEUM PALMATUM
RHEUM OFFICINALE                                  ,RHEUM PALMATUM
RHEUM RHAPONTICUM                                 ,RHEUM PALMATUM
RHEUM RUSSICUM                                    ,RHEUM PALMATUM
RHEUM UNDULATUM                                   ,RHEUM PALMATUM
RHEUMATOID ARTHRITIC NOSODE                       ,OAN (OSTEOARTRITE NOSODIO)
RHODALLINUM                                       ,THIOSINAMINUM
RHODALLIUM                                        ,THIOSINAMINUM
RHODIOLA BITERNATA                                ,CARDIOSPERMUM HALICACABUM
RHODIUM MET                                       ,RHODIUM
RHODIUM METALLICUM                                ,RHODIUM
RHODIUM OXYDATUM NITRICUM                         ,RHODIUM
RHODIUM OXYDATUM NITRUM                           ,RHODIUM
RHODODENDRON                                      ,RHODODENDRON CHRYSANTHUM
RHODODENDRON AUREUM                               ,RHODODENDRON CHRYSANTHUM
RHODODENDRON CAMPYLOCARPUM                        ,RHODODENDRON CHRYSANTHUM
RHODODENDRON CHRYS                                ,RHODODENDRON CHRYSANTHUM
RHODODENDRON CHRYSANTHEMUM                        ,RHODODENDRON CHRYSANTHUM
RHODODENDRON OFFICINALE                           ,RHODODENDRON CHRYSANTHUM
RHUS                                              ,RHUS TOXICODENDRON
RHUS AROM                                         ,RHUS AROMATICA
RHUS HUMILE                                       ,RHUS TOXICODENDRON
RHUS JUGLANDIFOLIA                                ,RHUS VENENATA
RHUS KAEMPFERI                                    ,RHUS VERNIX
RHUS PUBESCENS                                    ,RHUS TOXICODENDRON
RHUS TOX                                          ,RHUS TOXICODENDRON
RHUS TOXICARIUM                                   ,RHUS TOXICODENDRON
RHUS VEN                                          ,RHUS VENENATA
RHUS VERNICIFERA                                  ,RHUS VERNIX
RHUS VERNICIFLUA                                  ,RHUS VERNIX
RHUS VERRUCOSA                                    ,RHUS TOXICODENDRON
RIBAVIRINA ISOTERAPICO                            ,RIBAVIRINA
RIBOFLAVINA (H)                                   ,VITAMINA B2
RIBOFLAVINUM                                      ,VITAMINA B2
RIBOMUNYL (NOME COMERCIAL)                        ,ANTIGENOS DE RIBOSSOMAS BACTERIANOS
RIBONUCLEICUM ACIDUM                              ,ARN
RICINUS AFRICANUS                                 ,RICINUS COMMUNIS
RICINUS COM                                       ,RICINUS COMMUNIS
RICINUS EUROPAEUS                                 ,RICINUS COMMUNIS
RICINUS INERMIS                                   ,RICINUS COMMUNIS
RICINUS LAEVIS                                    ,RICINUS COMMUNIS
RICINUS LIVIDUS                                   ,RICINUS COMMUNIS
RICINUS VIRIDIS                                   ,RICINUS COMMUNIS
RIFABUTINA                                        ,RIFABUTIN
RIM TOTAL                                         ,RIM
RINGWORM NOSODE                                   ,RINGWORM
RINITE ATROFICA                                   ,NOSODIO OZENA
RINITE NOSODIO                                    ,NOSODIO OZENA
RITALINA (NOME COMERCIAL)                         ,METILFENIDATO CLORIDRATO
RIVOTRIL (NOME COMERCIAL)                         ,CLONAZEPAM
RNA                                               ,ARN
ROBINIA                                           ,ROBINIA PSEUDOCACIA
ROBINIA ACACIA                                    ,ROBINIA PSEUDOCACIA
ROBINIA FRAGILIS                                  ,ROBINIA PSEUDOCACIA
ROBINIA PSEUD                                     ,ROBINIA PSEUDOCACIA
ROHYPNOL (NOME COMERCIAL)                         ,FLUNITRAZEPAM
ROMA                                              ,PUNICA GRANATUM
RORELLA ROTUNDIFOIA PERENNIS                      ,DROSERA ROTUNDIFOLIA
RORELLA ROTUNDIFOLIA                              ,DROSERA ROTUNDIFOLIA
RORIPA RUSTICANUS                                 ,COCHLEARIA ARMORACIA
ROS SOLIS                                         ,DROSERA ROTUNDIFOLIA
ROS SOLIS FOLIO ROTUNDO                           ,DROSERA ROTUNDIFOLIA
ROSA ALBARDEIRA                                   ,PAEONIA OFFICINALIS
ROSA BENEDICTA                                    ,PAEONIA OFFICINALIS
ROSA CAN                                          ,ROSA CANINA
ROSE QUARTZ                                       ,ROSENQUARZ
ROSMARINUM SYLVESTRE                              ,LEDUM PALUSTRE
ROSSOLIS ROTUNDIFOLIA                             ,DROSERA ROTUNDIFOLIA
ROTAVIRUS                                         ,ISOTEAPICO ROTAVIRUS
ROTAVIRUS ISOTERAPICO                             ,ISOTEAPICO ROTAVIRUS
ROTZBAZILLUS                                      ,HIPPOZAENINUM
ROTZKRANKHEIT NOSODE                              ,HIPPOZAENINUM
ROYAL PYTHON                                      ,PYTHON REGIUS
RUBIA TIN                                         ,RUBIA TINCTORIA
RUBIA TINCTORUM                                   ,RUBIA TINCTORIA
RUBIDIUM MET                                      ,RUBIDIUM METALLICUM
RUBIDIUM SULPHURICUM                              ,RUBIDIUM SULFURICUM
RUBINUS ARSENICALIS                               ,ARSENICUM SULFURATUM RUBER
RUBUS FRUT                                        ,RUBUS FRUTICOSUS
RUBUS VILLOSUS                                    ,RUBUS FRUTICOSUS
RUDBECHKIA                                        ,ECHINACEA ANGUSTIFOLIA
RUDBECKIA ANGUSTIFOLIA                            ,ECHINACEA ANGUSTIFOLIA
RUDBECKIA HISPIDA                                 ,ECHINACEA PURPUREA
RUDBECKIA PALLIDA                                 ,ECHINACEA ANGUSTIFOLIA
RUDBECKIA PURPUREA                                ,ECHINACEA PURPUREA
RUIBARBO                                          ,RHEUM PALMATUM
RUIZIA FRAGANS                                    ,PEUMUS BOLDUS
RUMEX                                             ,RUMEX CRISPUS
RUMEX  ACUTUM                                     ,LAPATHUM ACUTUM
RUMEX OBTUSIFOLIUS                                ,LAPATHUM ACUTUM
RUTA                                              ,RUTA GRAVEOLENS
RUTA GRAV                                         ,RUTA GRAVEOLENS
RUTA HORTENSIS                                    ,RUTA GRAVEOLENS
RUTA HORTENSIS ET MONTANA                         ,RUTA GRAVEOLENS
RUTA HORTENSIS LATIFOLIA                          ,RUTA GRAVEOLENS
RUTA HORTENSIS MAJOR                              ,RUTA GRAVEOLENS
RUTA LACTEFOLIA                                   ,RUTA GRAVEOLENS
RUTA LATIFOLIA                                    ,RUTA GRAVEOLENS
RUTA MONTANA                                      ,RUTA GRAVEOLENS
RUTA OFFICINALIS                                  ,RUTA GRAVEOLENS
RUTA SATIVA                                       ,RUTA GRAVEOLENS
RUTA VULGARIS                                     ,RUTA GRAVEOLENS
RUTHENIUM MET                                     ,RUTHENIUM METALLICUM
RUTINUM (H)                                       ,RUTINA
RUTOSIDE (H)                                      ,RUTINA
S LOTUM                                           ,SULPHUR
SABADILLA                                         ,SABADILLA OFFICINALIS
SABADILLA OFF                                     ,SABADILLA OFFICINALIS
SABADILLA OFFICINARUM                             ,SABADILLA OFFICINALIS
SABAL                                             ,SABAL SERRULATA
SABAL SERR                                        ,SABAL SERRULATA
SABIN ISOTERAPICO                                 ,ISOTERAPICO SABIN
SABINA                                            ,SABINA OFFICINALIS
SABINA FOLI CUPRESSI                              ,SABINA OFFICINALIS
SABINA OFF                                        ,SABINA OFFICINALIS
SABINA STERILIS                                   ,SABINA OFFICINALIS
SABINA VULGARIS                                   ,SABINA OFFICINALIS
SABUGUEIRO                                        ,SAMBUCUS NIGRA
SACAROSE (H)                                      ,ACUCAR BRANCO
SACCHAROMYCES CEREVISAE (H)                       ,TORULA CEREVISAE
SACCHARUM ALBUM                                   ,SACCHARUM OFFICINARUM
SACCHARUM OFF                                     ,SACCHARUM OFFICINARUM
SACHARUM SATURNI                                  ,PLUMBUM ACETICUM
SACO-SACO                                         ,PALMA ROSA
SAIAO                                             ,KALLANCHOE BRASILIENSIS
SAL AMARUM                                        ,MAGNESIA SULPHURICA
SAL AMMONIACUM                                    ,AMMONIUM MURIATICUM
SAL AMMONIAE                                      ,AMMONIUM MURIATICUM
SAL ANGLICUM                                      ,MAGNESIA SULPHURICA
SAL COMUNE                                        ,NATRUM MURIATICUM
SAL CULINARE                                      ,NATRUM MURIATICUM
SAL DE GLAUBER                                    ,NATRUM SULPHURICUM
SAL DIGESTIVUM SYLVII                             ,KALI MURIATICUM
SAL EPSOM                                         ,MAGNESIA SULPHURICA
SAL EPSOMENSE                                     ,MAGNESIA SULPHURICA
SAL GLAUBERI                                      ,NATRUM SULPHURICUM
SAL MIRABILE                                      ,NATRUM SULPHURICUM
SAL NITRI                                         ,KALI NITRICUM
SAL PETRAE                                        ,KALI NITRICUM
SAL POLYCHRESTUM                                  ,KALI SULFURICUM
SAL SEDLICENSE                                    ,MAGNESIA SULPHURICA
SAL SODAE                                         ,NATRUM CARBONICUM
SAL SODAE DEPURATUS                               ,NATRUM CARBONICUM
SAL TARTARI                                       ,KALI CARBONICUM
SAL VOLATILE ANGLICANUM                           ,AMMONIUM CARBONICUM
SAL VOLATILE SICCUM                               ,AMMONIUM CARBONICUM
SALAMANDRA MACULATA                               ,SALAMANDRA
SALAMANDRA SALAMANDRA                             ,SALAMANDRA
SALAMANDRA TERRESTRIS                             ,SALAMANDRA
SALICYLI ACIDUM                                   ,ACIDUM SALICYLICUM
SALICYLICUM ACIDUM                                ,ACIDUM SALICYLICUM
SALIX AMBIGUA                                     ,SALIX NIGRA
SALIX CAERULEA                                    ,SALIX ALBA
SALIX FALCATA                                     ,SALIX NIGRA
SALIX LIGUSTRINA                                  ,SALIX NIGRA
SALIX PURSCHIANA                                  ,SALIX NIGRA
SALMONELLA ENTERIDITIS                            ,BACILLUS GAERTNER
SALSA                                             ,PETROSELINUM SATIVUM
SALSAPARILLA (SMILAX OFFICINALIS)                 ,SARSAPARILLA
SALVIA (H)                                        ,SALVIA OFFICINALIS
SALVIA GRANDIFLORA (H)                            ,SALVIA OFFICINALIS
SALVIA OFF (H)                                    ,SALVIA OFFICINALIS
SAMAMBAIA                                         ,ADIANTHUM PEDATUM
SAMARIUM                                          ,SAMARIUM METALLICUM
SAMARIUM CARB                                     ,SAMARIUM CARBONICUM
SAMARIUM CHLORATUM                                ,SAMARIUM MURIATICUM
SAMBUCUS                                          ,SAMBUCUS NIGRA
SAMBUCUS ACINIS ALBIS                             ,SAMBUCUS NIGRA
SAMBUCUS LACINIATIS FOLLIS                        ,SAMBUCUS NIGRA
SAMBUCUS MEDERENSIS                               ,SAMBUCUS NIGRA
SAMBUCUS NIG                                      ,SAMBUCUS NIGRA
SAMYDA SYLVESTRIS (H)                             ,CASEARIA SYLVESTRIS
SANGRE DE DRAGO                                   ,CROTON LECHLERI
SANGUE                                            ,SANGUE TOTAL
SANGUINARIA                                       ,SANGUINARIA CANADENSIS
SANGUINARIA ACAULIS                               ,SANGUINARIA CANADENSIS
SANGUINARIA CAN                                   ,SANGUINARIA CANADENSIS
SANGUINARIA GRANDIFLORA                           ,SANGUINARIA CANADENSIS
SANGUINARIA MINOR                                 ,SANGUINARIA CANADENSIS
SANGUINARIA NITRICA                               ,SANGUINARINUM NITRICUM
SANGUINARIA VERNALIS                              ,SANGUINARIA CANADENSIS
SANGUINARINA NITRICA                              ,SANGUINARINUM NITRICUM
SANGUINARINAE NITRAS                              ,SANGUINARINUM NITRICUM
SANGUINARINUM NIT                                 ,SANGUINARINUM NITRICUM
SANGUIS AQUILAE                                   ,HALIAEETUS LEUCOCEPHALUS
SANGUIS DE DACO                                   ,CROTON LECHLERI
SANGUISORBA OFF                                   ,SANGUISORBA OFFICINALIS
SANGUISUGA                                        ,HIRUDO MEDICINALIS
SANGUISUGA OFFICINALIS                            ,HIRUDO MEDICINALIS
SANICULA                                          ,SANICULA AQUA
SANTALI OLEUM                                     ,SANTALUM ALBUM
SANTALUM                                          ,SANTALUM ALBUM
SANTONINI ACIDUM                                  ,SANTONINUM
SAPIUM SYLVATICUM                                 ,STILLINGIA SYLVATICA
SAPONARIA                                         ,SAPONARIA OFFICINALIS
SAPONARIA OFF                                     ,SAPONARIA OFFICINALIS
"SARAMPO, CAXUMBA E RUBEOLA ISOTERAPICO            ","ISOTERAPICO SARAMPO, CAXUMBA E RUBEOLA"
SARAZINA GIBBOSA                                  ,SARRACENIA PURPUREA
SARCOLACTIC ACID                                  ,ACIDUM SARCOLACTICUM
SARCOLACTICUM ACIDUM                              ,ACIDUM SARCOLACTICUM
SAROTHAMNUS VULGARIS                              ,SAROTHAMNUS SCOPARIUS
SAROTHAMUS SCOP                                   ,SAROTHAMNUS SCOPARIUS
SARRACENIA HETEROPHYLLA                           ,SARRACENIA PURPUREA
SARRACENIA PURP                                   ,SARRACENIA PURPUREA
SARSAPARILLA OFFICINALIS                          ,SARSAPARILLA
SARZA                                             ,SARSAPARILLA
SASSAFRAS                                         ,SASSAFRAS OFFICINALE
SASSAFRAS OFF                                     ,SASSAFRAS OFFICINALE
